timestamp,google_trends
2022-07-10,57
2022-07-17,59
2022-07-24,53
2022-07-31,46
2022-08-07,45
2022-08-14,45
2022-08-21,41
2022-08-28,43
2022-09-04,41
2022-09-11,41
2022-09-18,43
2022-09-25,40
2022-10-02,35
2022-10-09,35
2022-10-16,31
2022-10-23,34
2022-10-30,34
2022-11-06,65
2022-11-13,60
2022-11-20,44
2022-11-27,40
2022-12-04,36
2022-12-11,36
2022-12-18,34
2022-12-25,34
2023-01-01,34
2023-01-08,39
2023-01-15,46
2023-01-22,44
2023-01-29,41
2023-02-05,35
2023-02-12,37
2023-02-19,37
2023-02-26,34
2023-03-05,36
2023-03-12,51
2023-03-19,52
2023-03-26,44
2023-04-02,40
2023-04-09,46
2023-04-16,42
2023-04-23,38
2023-04-30,37
2023-05-07,38
2023-05-14,32
2023-05-21,33
2023-05-28,33
2023-06-04,36
2023-06-11,35
2023-06-18,41
2023-06-25,38
2023-07-02,37
2023-07-09,39
2023-07-16,36
2023-07-23,36
2023-07-30,32
2023-08-06,33
2023-08-13,37
2023-08-20,35
2023-08-27,36
2023-09-03,32
2023-09-10,31
2023-09-17,31
2023-09-24,29
2023-10-01,31
2023-10-08,30
2023-10-15,34
2023-10-22,50
2023-10-29,41
2023-11-05,43
2023-11-12,41
2023-11-19,39
2023-11-26,39
2023-12-03,59
2023-12-10,47
2023-12-17,45
2023-12-24,42
2023-12-31,54
2024-01-07,83
2024-01-14,48
2024-01-21,45
2024-01-28,38
2024-02-04,37
2024-02-11,55
2024-02-18,45
2024-02-25,80
2024-03-03,100
2024-03-10,86
2024-03-17,73
2024-03-24,64
2024-03-31,62
2024-04-07,61
2024-04-14,78
2024-04-21,50
2024-04-28,51
2024-05-05,40
2024-05-12,40
2024-05-19,44
2024-05-26,37
2024-06-02,41
2024-06-09,38
2024-06-16,36
2024-06-23,36
2024-06-30,41
2024-07-07,41
