timestamp,price,signal_score,buy_signal,sell_signal,strong_buy_signal,strong_sell_signal,hold_signal
2022-07-10,27519.4232,57.5,1,0,0,0,0
2022-07-13,27519.4232,57.5,1,0,0,0,0
2022-07-14,28000.8224,67.5,1,0,0,0,0
2022-07-15,28328.854400000004,67.5,1,0,0,0,0
2022-07-16,28826.016,67.5,1,0,0,0,0
2022-07-17,28285.4976,67.5,1,0,0,0,0
2022-07-18,30508.30880000001,67.5,1,0,0,0,0
2022-07-19,31819.4032,60.0,1,0,0,0,0
2022-07-20,31583.688,60.0,1,0,0,0,0
2022-07-21,31486.9784,60.0,1,0,0,0,0
2022-07-22,30851.368800000004,60.0,1,0,0,0,0
2022-07-23,30533.4552,60.0,1,0,0,0,0
2022-07-24,30708.364800000003,60.0,1,0,0,0,0
2022-07-25,28982.824000000004,60.0,1,0,0,0,0
2022-07-26,28906.3512,47.5,0,0,0,0,1
2022-07-27,31215.332,67.5,1,0,0,0,0
2022-07-28,32426.384800000003,60.0,1,0,0,0,0
2022-07-29,32332.300000000003,60.0,1,0,0,0,0
2022-07-30,32155.1736,60.0,1,0,0,0,0
2022-07-31,31678.915200000003,37.5,0,1,0,0,0
2022-08-01,31644.4936,37.5,0,1,0,0,0
2022-08-02,31263.394400000005,37.5,0,1,0,0,0
2022-08-03,31032.9832,17.5,0,0,0,1,0
2022-08-04,30767.2528,17.5,0,0,0,1,0
2022-08-05,31704.8912,17.5,0,0,0,1,0
2022-08-06,31217.7256,17.5,0,0,0,1,0
2022-08-07,31517.170400000003,17.5,0,0,0,1,0
2022-08-08,32381.6,17.5,0,0,0,1,0
2022-08-09,31483.932000000004,17.5,0,0,0,1,0
2022-08-10,32577.508,27.500000000000004,0,0,0,1,0
2022-08-11,32550.7704,27.500000000000004,0,0,0,1,0
2022-08-12,33189.0048,47.5,0,0,0,0,1
2022-08-13,33240.27680000001,37.5,0,1,0,0,0
2022-08-14,33055.1264,37.5,0,1,0,0,0
2022-08-15,32768.955200000004,47.5,0,0,0,0,1
2022-08-16,32442.446400000004,27.500000000000004,0,0,0,1,0
2022-08-17,31746.017600000003,27.500000000000004,0,0,0,1,0
2022-08-18,31540.032000000003,17.5,0,0,0,1,0
2022-08-19,28334.7704,27.500000000000004,0,0,0,1,0
2022-08-20,28750.4952,35.0,0,1,0,0,0
2022-08-21,29261.2296,25.0,0,0,0,1,0
2022-08-22,29103.768800000005,35.0,0,1,0,0,0
2022-08-23,29279.6032,35.0,0,1,0,0,0
2022-08-24,29060.588800000005,35.0,0,1,0,0,0
2022-08-25,29320.2944,35.0,0,1,0,0,0
2022-08-26,27527.828,45.0,0,0,0,0,1
2022-08-27,27251.136,35.0,0,1,0,0,0
2022-08-28,26595.629600000004,35.0,0,1,0,0,0
2022-08-29,27588.5928,45.0,0,0,0,0,1
2022-08-30,26943.857600000003,45.0,0,0,0,0,1
2022-08-31,27268.027200000004,45.0,0,0,0,0,1
2022-09-01,27378.7856,45.0,0,0,0,0,1
2022-09-02,27134.5296,52.5,0,0,0,0,1
2022-09-03,26971.384000000005,60.0,1,0,0,0,0
2022-09-04,27200.408,25.0,0,0,0,1,0
2022-09-05,26923.7024,35.0,0,1,0,0,0
2022-09-06,25555.2296,45.0,0,0,0,0,1
2022-09-07,26238.262400000003,35.0,0,1,0,0,0
2022-09-08,26274.8872,35.0,0,1,0,0,0
2022-09-09,29049.749600000003,55.0,0,0,0,0,1
2022-09-10,29441.742400000003,55.0,0,0,0,0,1
2022-09-11,29684.5432,55.0,0,0,0,0,1
2022-09-12,30458.206400000003,55.0,0,0,0,0,1
2022-09-13,27436.055200000003,47.5,0,0,0,0,1
2022-09-14,27508.3256,55.0,0,0,0,0,1
2022-09-15,26794.5568,55.0,0,0,0,0,1
2022-09-16,26932.488,55.0,0,0,0,0,1
2022-09-17,27354.5232,45.0,0,0,0,0,1
2022-09-18,26406.0048,60.0,1,0,0,0,0
2022-09-19,26570.347200000004,70.0,0,0,0,0,0
2022-09-20,25670.000000000004,70.0,0,0,0,0,0
2022-09-21,25107.449600000004,70.0,0,0,0,0,0
2022-09-22,26386.2168,70.0,0,0,0,0,0
2022-09-23,26234.2776,70.0,0,0,0,0,0
2022-09-24,25731.88,60.0,1,0,0,0,0
2022-09-25,25578.0368,35.0,0,1,0,0,0
2022-09-26,26149.8352,45.0,0,0,0,0,1
2022-09-27,25947.616800000003,35.0,0,1,0,0,0
2022-09-28,26401.4352,55.0,0,0,0,0,1
2022-09-29,26644.4536,55.0,0,0,0,0,1
2022-09-30,26414.749600000003,55.0,0,0,0,0,1
2022-10-01,26262.892000000003,45.0,0,0,0,0,1
2022-10-02,25917.248,45.0,0,0,0,0,1
2022-10-03,26695.548800000004,45.0,0,0,0,0,1
2022-10-04,27659.4352,45.0,0,0,0,0,1
2022-10-05,27415.2336,45.0,0,0,0,0,1
2022-10-06,27146.5112,45.0,0,0,0,0,1
2022-10-07,26560.922400000003,45.0,0,0,0,0,1
2022-10-08,26408.4256,45.0,0,0,0,0,1
2022-10-09,26437.0672,45.0,0,0,0,0,1
2022-10-10,26019.3432,45.0,0,0,0,0,1
2022-10-11,25921.6,45.0,0,0,0,0,1
2022-10-12,26051.5208,25.0,0,0,0,1,0
2022-10-13,26350.176800000005,55.0,0,0,0,0,1
2022-10-14,26080.6248,55.0,0,0,0,0,1
2022-10-15,25934.3704,25.0,0,0,0,1,0
2022-10-16,26197.6528,45.0,0,0,0,0,1
2022-10-17,26587.809600000004,45.0,0,0,0,0,1
2022-10-18,26285.3184,55.0,0,0,0,0,1
2022-10-19,26008.599200000004,45.0,0,0,0,0,1
2022-10-20,25897.0112,45.0,0,0,0,0,1
2022-10-21,26063.5432,55.0,0,0,0,0,1
2022-10-22,26117.916,45.0,0,0,0,0,1
2022-10-23,26615.744,80.0,0,0,1,0,0
2022-10-24,26288.419200000004,90.0,0,0,1,0,0
2022-10-25,27308.895200000003,90.0,0,0,1,0,0
2022-10-26,28249.3624,72.5,0,0,1,0,0
2022-10-27,27601.3496,82.5,0,0,1,0,0
2022-10-28,28004.902400000003,82.5,0,0,1,0,0
2022-10-29,28301.1512,72.5,0,0,1,0,0
2022-10-30,28053.3728,72.5,0,0,1,0,0
2022-10-31,27867.406400000003,82.5,0,0,1,0,0
2022-11-01,27857.7232,82.5,0,0,1,0,0
2022-11-02,27406.5024,82.5,0,0,1,0,0
2022-11-03,27482.6352,82.5,0,0,1,0,0
2022-11-04,28761.987200000003,72.5,0,0,1,0,0
2022-11-05,28967.1432,62.5,1,0,0,0,0
2022-11-06,28431.588800000005,72.5,0,0,1,0,0
2022-11-07,28003.936800000003,82.5,0,0,1,0,0
2022-11-08,25224.2328,62.5,1,0,0,0,0
2022-11-09,21655.0216,80.0,0,0,1,0,0
2022-11-10,23937.564,70.0,0,0,0,0,0
2022-11-11,23215.6216,70.0,0,0,0,0,0
2022-11-12,22864.428800000005,70.0,0,0,0,0,0
2022-11-13,22208.596,70.0,0,0,0,0,0
2022-11-14,22602.4656,70.0,0,0,0,0,0
2022-11-15,22984.7752,60.0,1,0,0,0,0
2022-11-16,22661.3536,60.0,1,0,0,0,0
2022-11-17,22701.881600000004,60.0,1,0,0,0,0
2022-11-18,22712.612,70.0,0,0,0,0,0
2022-11-19,22712.9248,70.0,0,0,0,0,0
2022-11-20,22141.112800000003,35.0,0,1,0,0,0
2022-11-21,21462.554400000005,35.0,0,1,0,0,0
2022-11-22,22068.638400000003,25.0,0,0,0,1,0
2022-11-23,22580.2296,25.0,0,0,0,1,0
2022-11-24,22574.572000000004,45.0,0,0,0,0,1
2022-11-25,22470.1104,45.0,0,0,0,0,1
2022-11-26,22383.6552,45.0,0,0,0,0,1
2022-11-27,22343.1408,45.0,0,0,0,0,1
2022-11-28,22049.5576,45.0,0,0,0,0,1
2022-11-29,22361.8408,45.0,0,0,0,0,1
2022-11-30,23342.5504,55.0,0,0,0,0,1
2022-12-01,23089.2232,55.0,0,0,0,0,1
2022-12-02,23246.126400000005,45.0,0,0,0,0,1
2022-12-03,22963.872000000003,45.0,0,0,0,0,1
2022-12-04,23263.752000000004,45.0,0,0,0,0,1
2022-12-05,23074.236,55.0,0,0,0,0,1
2022-12-06,23240.9856,55.0,0,0,0,0,1
2022-12-07,22897.830400000003,55.0,0,0,0,0,1
2022-12-08,23424.776,55.0,0,0,0,0,1
2022-12-09,23294.841600000003,55.0,0,0,0,0,1
2022-12-10,23293.386400000003,45.0,0,0,0,0,1
2022-12-11,23235.668,45.0,0,0,0,0,1
2022-12-12,23405.368800000004,55.0,0,0,0,0,1
2022-12-13,24173.592000000004,45.0,0,0,0,0,1
2022-12-14,24212.284000000003,47.5,0,0,0,0,1
2022-12-15,23604.6224,47.5,0,0,0,0,1
2022-12-16,22619.6832,55.0,0,0,0,0,1
2022-12-17,22816.0672,45.0,0,0,0,0,1
2022-12-18,22763.9656,45.0,0,0,0,0,1
2022-12-19,22356.8768,25.0,0,0,0,1,0
2022-12-20,22977.9616,35.0,0,1,0,0,0
2022-12-21,22881.5512,25.0,0,0,0,1,0
2022-12-22,22877.1448,25.0,0,0,0,1,0
2022-12-23,22818.76,25.0,0,0,0,1,0
2022-12-24,22897.1232,25.0,0,0,0,1,0
2022-12-25,22891.6696,25.0,0,0,0,1,0
2022-12-26,23010.3704,45.0,0,0,0,0,1
2022-12-27,22720.6496,55.00000000000001,0,0,0,0,0
2022-12-28,22504.341600000003,45.0,0,0,0,0,1
2022-12-29,22621.5192,25.0,0,0,0,1,0
2022-12-30,22586.1728,25.0,0,0,0,1,0
2022-12-31,22497.664000000004,25.0,0,0,0,1,0
2023-01-01,22598.78,25.0,0,0,0,1,0
2023-01-02,22675.1032,25.0,0,0,0,1,0
2023-01-03,22678.2448,45.0,0,0,0,0,1
2023-01-04,22916.4896,55.0,0,0,0,0,1
2023-01-05,22891.316,55.0,0,0,0,0,1
